v	Vector
[C]1=[CH][C]#[C][CH]=1	0	291 351 363 576 735 752 1039 1277 1652 1873 1894	15.272827705757724,7.607912562318571,-2.5692210972620684,5.1621454450213715,-2.8682185614891096,0.18783654940789477,0.20863913613405927,2.417614127201737,0.9007715253719277,-2.221008959945051,-1.3716084680841183,2.8606650032696344,-0.19289486264087846,-4.225612642351336,-2.09999257989018,-0.9142549223154823,-5.26051580698379,-0.7945960017524044,-3.615172544938012,-0.9042672584699123,-1.2570270840760491,-0.38769628939196604,-0.8811276449438447,-0.6768103694351668,0.5167714017376046,-0.19777857597276716,-0.9104624047734914,3.1029476083483027,-0.2305353289590325,-1.6206629427689367,0.2792961921422136,-0.1108314301858474,-1.2759603698969657,0.29301694353327046,-0.9240404633856326,0.2723204398472645,0.495543399118624,1.1713236465606793,-0.41772367987240966,-0.31786298694035753,-0.03609553275146005,1.9899544348043188,-0.3527736458234191,-0.1811897296297616,0.18250347528460348,0.5961590065928306,0.6147041361637618,0.46390240296637913,0.03919905695550352,0.5368396001390543,-0.07935934439679276,0.34382262854133905,0.4690800341151203,0.18503357800350206,0.6549961943050898,-0.20919944059079143,0.6129835594050728,0.7564955686836851,0.14300744771574536,-0.18123707654297683,-0.4668976173381718,0.7548080587615154,-0.4663704926240832,0.038988080000714964,0.10825401522807054,0.8005964062549058,-0.7403935041984413,-0.18782395916173988,-0.2938278079546468,0.23153767194223543
[Na+].[SH-]	0	243 777 1213 1652	18.292239253507333,7.646801648195087,0.6104615425972608,1.7381127796573925,0.4631702134550401,0.7464887366005233,-1.0328428493082749,0.4098026543000775,-0.06833213793769627,0.830358429257721,-1.8390625265698697,0.03463214948752835,-0.3169514586002969,-1.1896498984916346,-0.42051616585685464,0.8346373079760546,-0.4105062616344525,-0.5989790080180439,-0.33280994692201193,-0.43389182956555394,-0.25405838402977987,-0.5171410931223268,0.17146615035533527,0.03948963980860387,-0.35391100291221733,0.23316232302564854,0.18514486244879552,0.3823800262286487,0.4413245335909514,-0.3471812487377272,0.6626038513750212,-0.309290095202086,0.3561032835250981,-0.004754494253504826,0.1202834725169924,0.6599234842782822,-0.32671342230024125,0.35762253058544213,0.03064286308715447,0.6884406126011202,0.045845039632569584,0.03594204433324666,-0.08435146938829208,0.23606725261723197,-0.02864703528314766,-0.053243658861308246,0.09156614810157473,-0.22870247296447274,0.23735291286090898,-0.03789701198040496,0.10656741927470809,-0.6170421671427874,-0.5284564856411793,-0.3517618505891796,-0.5326918966276024,-0.016867879235195504,-0.31352477442137394,0.20943061908317884,-0.38840240849000807,-0.0027154100472640275,-0.5107445094697131,0.040311023406053303,-0.29529216934825325,0.19587548468540644,-0.5896078694112724,0.3598397352181535,0.05491845975749665,-0.7441185033929612,-0.5489157376427162,0.23401442166265002
[Na+].[OH-]	0	238 862 1213 1652	18.40927830989522,7.442539925039281,0.6582859744949487,1.9154959905888105,0.532289435472298,0.8156548274384988,-1.0954188978010369,0.5123500965018366,-0.39636220076557016,1.1677244385582846,-1.9209198379066337,0.1837323142742796,-0.5641117447231094,-1.3938490851059335,-0.42527840526657856,0.9253841723958373,-0.3352368820345753,-0.5952215121350832,-0.39212544220341816,-0.6680487792963421,-0.5508826657469964,-0.7092381678853449,-0.06842817920229008,0.20936075026952172,-0.3974466621030246,0.18080154401607218,0.26443010925683935,0.2448860732467456,0.24293764958926212,-0.14809576216244513,1.074084824621282,-0.4208131574095908,0.599466442721754,0.201321658553905,0.07147220490316991,0.13745856078063812,-0.38452639865338456,0.13086506069355064,-0.2945006173020118,0.43908637465738687,0.03389685046310735,-0.3078718993219335,-0.13614420727290066,0.061087759465668245,-0.3046150601495519,0.2382007916914427,-0.06775570384189139,0.034664361946567496,0.17556436005270648,-0.05471527603514903,0.40925300860910174,-0.6968146070378588,-0.4117142577654396,-0.4315136776655819,-0.7880105119833793,-0.23632679657284872,-0.5725952107118125,0.02631031897067143,-0.4022225637592644,-0.08905571895127729,-0.5617487215658634,-0.06899575569774599,-0.4046823556479641,0.13583167841067084,-0.5923156716291469,0.348298252876335,-0.0077557067455500395,-0.43213786176295654,-0.7755629398841569,0.43923649071478515
[N]#[C][S-].[Na+]	0	34 674 790 1213 1384 1570 1593	16.673751371193006,7.708634303925865,0.34965996782456643,2.6064955282688818,-1.525064757042482,1.9070492105878338,-0.6888761128596533,2.711418430830545,-0.09102664860556531,-0.1670978537304375,-0.4772897498071136,2.7775184285042953,2.6843956926856207,1.1090877914589095,-1.018336968278751,0.8977011737331251,-0.4346934185761756,-1.2824584417433074,1.5246074704541535,-1.089292720430855,0.23055070429812863,-1.0956274890775746,0.1956886019852423,0.03815457990569354,-0.3263454665572063,0.0858811097423757,1.0704150810009754,0.24942855978087008,0.7057541257713577,-1.0694234102818065,1.479807258895732,-1.007689638474063,1.4040205915955444,0.7994314392475773,-0.7392500754150704,1.3496655847588253,-0.683374828786397,0.5106579480658917,0.522408413771835,-0.060072833423614025,0.46078994025918374,-0.6561843220718796,0.41249054191902057,0.10849750016291332,-0.12772840361427562,0.1184316443727021,0.3328134382739456,-0.00910446657762326,0.390454708740926,0.49572956790487877,0.28692560658639943,-1.0063651957558761,-0.5663076355419852,-0.5418587615612014,-0.8796452192272797,-0.2821480129192616,-1.1738202469283117,-0.10310459303820696,-0.44534542065442145,-0.37150605843036144,-0.4492849638133961,-0.057200139291529783,-0.67175970646472,0.09233403805286056,-0.5785668800512244,0.6890636140386976,-0.2651985540877333,-0.8730879056211407,-0.7759490888404283,0.21169499254931082
[Na+].[O]=[N][O-]	0	650 715 725 967 979 1060 1213	16.577103396610106,7.507684215047106,0.4060340143541995,2.4226863010981905,0.6702033501488133,2.0662440117256446,-0.9341968449269794,2.885176187986727,0.3097058547999315,2.416351845184091,-1.605093272644088,0.6030872869330348,-1.7126452451725265,-1.063322789696429,-0.6922383414616567,1.5464056827315982,-0.2783290263796892,0.5086000225200749,0.20490669280307428,-1.6107505958832373,-1.102272047145896,-1.1153035838380498,-0.07968262325554099,-0.665876557123783,-0.42797718771508886,-0.1499972912004077,-0.17538263119850883,0.4836464915279447,0.7518115091147963,0.193909507353347,-0.18747298529886858,-0.1349494233756744,0.31348819983726833,0.8004897335003734,-0.452798987232813,0.13360861462479753,0.060706990171973035,0.8044505650635456,-0.2577706737225839,0.6884516428866407,0.5406537655934431,0.015030957701525849,-0.12339524899200005,0.36855062866761124,-0.4951957550325876,-0.7817397071874896,-0.17054208742616256,-0.07116791858483382,0.341038007177651,0.5596778764117069,-0.07014031265157261,-0.5637239312145975,-0.4963259796667644,-0.31739668900175083,-0.6501109150169223,-0.2122142304785346,-0.35292945012105925,-0.023432447952978497,-0.5021919016400687,-0.37952489477853385,-0.7108934102374738,0.30829672225074856,-0.19432109123202082,-0.4326548365840086,-0.595926313334554,0.33409825486731104,0.1125029658009219,-0.8020789590098145,-0.8134730797002596,0.24404042875133525
[N-]=[N+]=[N-].[Na+]	0	487 740 1213 1427 1449	17.41784880544094,6.725636064213537,0.17037000724257767,4.08508918156345,0.9011932507967655,2.7916318115169956,0.10150314992818116,2.753552700865049,-0.2500786749569631,1.3616936438550538,-0.9047896588930207,0.8485651570391796,0.9039614684130621,-0.810728263054974,-0.8831539722870211,4.047084647872916,-0.8045658610270319,-1.1711257107784485,-1.1610527891031825,-0.6339045376758661,-0.004538424513795158,-1.1750385689733636,1.0843173708639284,0.14209677271512475,-1.4740290164843926,-0.18016752385126056,-0.03585008477355403,-0.5528540945490042,0.458209355759292,1.5200728303655655,1.4509633366375707,1.0066493948388715,1.6612803691038809,0.4904131417837366,-1.08572014232539,-0.058434322073701306,-0.6770198182631361,1.484303052752513,-1.0677390183564492,-0.22067041472541388,-1.3249785563054934,-0.7743018591209458,-2.4585863726402932,0.19771905981475985,-1.1779375496275564,-1.2721714227504768,-0.2263568155771722,-1.4227841242975763,-0.20520202499232287,-1.0674158909797182,-1.1957282932415974,-0.7923653838315595,-2.810101335202942,-0.029272941975554245,2.5925707657026535,-0.9869337136167874,-2.2399833754922773,0.6260119642834371,0.9058372961767932,-0.35189270241632997,-1.6961188965126461,1.0343071801981154,-0.6590416545792588,-2.3739835124484285,-0.6563654592068429,3.0881234431416344,0.7678567641734806,-3.1954886795097,-0.21305662598264663,-1.686998584463495
[CH]#[C][CH]([C]#[CH])[C]#[N]	0	1 110 169 388 390 564 674 706 790 900 915 1080 1083 1369 1384 1428 1652 1865	15.80375636162984,4.20425417047541,2.499916249065727,3.819679275620334,-2.0003111314755766,0.03781511729861378,-0.6191931861187453,2.5554909704820017,0.16114370803896172,-1.3405245138918604,4.6755536935906825,3.4626821183704344,6.4834207062176255,2.1757445030160047,-1.3425173383099298,0.9424564048025915,-2.283730478587617,-2.5484124786324935,0.5997653550042831,-0.42683443935927134,-0.38478784430867646,0.27170905142373586,0.09551338431165027,0.6813045108978559,0.14476668730641762,-1.0845164862142986,-1.5988085435850632,-3.3922455878973574,-0.5037808593671629,-1.0128288555224625,-0.5750375442051405,2.2632875222712077,-1.9194238373761527,-1.8582314267954485,-0.3216778283314123,-1.4794089024859005,0.7801464936481219,-1.0889761982708996,0.20655563218323492,1.7660435452152932,-0.2766923461238884,-0.5851671660349795,0.9521653160764134,1.0321274413474175,-1.0201385076004905,-0.6664254689319503,-1.0379623447508537,-0.4392324793642588,0.3217053468360126,0.39314261382679594,-0.2528834051202041,0.9711496890914384,0.25485425295662256,0.6268426676340665,0.4210189518586962,1.442167394117822,0.08683578802155775,0.531367071605068,0.09252618298854731,0.5273774641798508,0.3832237449352753,0.3545173492428287,0.30538935682886637,-0.552090076234644,0.6233168531005842,0.4182071662054443,0.584949550082717,0.5476157760435643,-1.4450177708859222,-0.4989048722809267
[CH3][CH]1[S][C](=[O])[S][CH]1[CH3]	0	38 49 91 198 222 314 386 616 650 675 751 1019 1057 1380 1443 1536 1556 1652 1685 1733	13.090079779007427,2.983504375118127,-2.5580246870015255,1.8108156616423612,1.3297930347048523,-0.8668503720773971,0.30561499659070057,0.2933515236489688,0.5500201214438223,0.4306085838568313,-2.2162949185613856,-1.6237350707690479,-1.1357868910812796,2.4793012072090916,-1.0125576292529792,-2.266714192968085,-2.283921174332812,0.09239909664542806,0.028534920369132744,1.3551560822669548,0.45339666964903325,-3.084978281776692,-0.4630593864314355,1.0578708881677432,0.7731958969615997,0.47561470683939255,1.2738183466465636,1.1591349864867206,0.3513477176503912,2.2614679438591176,0.24244815792825047,-0.9988416028904505,-0.7184133027707527,0.22754134599258313,-2.813114062019702,-0.8287717099630205,0.7247313276590501,0.44975633560271383,-0.5757489171198031,-0.6472725603441678,1.7067258779551764,-0.03279939969076828,1.62103745085476,0.4335441677809979,-0.3698553306920449,-2.391309852177084,-0.35492882761665523,-0.6576353306743307,1.2806842953345292,-0.7170277256733756,-0.5050691734094137,0.026462293456149477,0.49807311341126725,-0.5742448429413505,-1.1968103187980206,-0.6184402878022983,-0.1962813965203008,0.8671884716645752,-1.0848544675620146,-0.6253156695067783,-0.3986102983331936,0.8248275765498965,-0.323990940196895,-1.2936425400443519,0.2934099987718844,-0.13035078936159994,-0.5649050884709792,-0.09091992533739426,-0.37841077066544326,0.45178800437585265
[CH3][N]=[C]([C]#[N])[O][CH]=[O]	0	91 107 111 126 134 217 381 459 535 570 650 674 694 695 725 790 803 807 907 1004 1057 1195 1277 1384 1478 1552 1652	13.769564791356242,4.44685896794156,1.6265130649181794,2.9814236150250366,0.9781056137023402,0.12240727773170373,-1.0557372151618607,4.825242651583869,0.32215617010371084,-0.1574230676669739,2.5660750463026054,0.8339579875143769,1.6536492860727523,2.4319290351384693,0.10457773318053382,-0.427918700472635,0.020625233006179577,-1.0168757174945962,1.3808807711048692,-0.4929267976846968,0.23425945325845915,-1.3225273972276388,-1.1558723636443893,-0.4432231419555275,-1.1951482031812013,-0.3690350986517999,-0.04128696668013587,-0.5011145873018417,0.632045347401456,0.020837158987692908,0.31091391657152057,0.5472160013794694,0.48970917088261634,1.1918190176780779,-0.6134908093010871,-0.21728463371765327,-0.1428342531870601,0.8054970775630285,-0.5528877707825793,0.020217812887068698,0.9979079251762737,-0.8666996100777573,-0.16714305464435353,0.7774732299620765,-0.4848161831075664,-0.17122383347784798,1.2484761274983682,0.736394535135237,0.42213556646767403,0.10321566105933011,1.2308973989877934,0.5304069795794256,-0.38365792589947584,0.8821040891569358,0.2515426724418368,-0.6869499119143602,-0.6523957125082681,-0.20361266935661324,0.7256599429072399,0.8522745020907854,0.17958825559377994,-0.19768862532186557,0.31916718606698113,-0.18992969925884645,-0.5144855648299542,0.11442859150424889,-0.7489633314958991,0.1376439688999711,-0.03743153755313422,0.4257496723303339
[N]#[C]/[C]([NH2])=[C](/[NH2])[C]#[N]	0	231 671 674 790 803 807 1019 1171 1384 1652 1656 1954 1961 2023	13.550431246914709,5.956319899540908,1.6628617072757716,1.9057622618895114,0.49401124604398283,2.5891802969452318,-0.16400046736916618,7.248589686321953,1.1201331558053171,-2.12204736428457,1.8998673089575533,3.0694453800547414,7.149876613200168,4.575267511690257,-0.574636658904089,-0.07816881203557333,2.0303954637050867,-1.4404622438845718,2.2098957249745697,-1.756645879449926,2.1800417896105704,-2.799589672053993,-1.440762959547683,-0.41854068746732637,0.16780660229686428,-0.008441865762864015,1.1866520117489396,0.8947109283161366,1.6550888597960485,-1.4650919370871192,-0.04548596211813927,-1.000980893997154,1.6751767174589114,0.5948702780804167,-0.31464743512736837,0.748713296424049,0.006264841353341821,2.1281025296637934,-0.3307406464960989,0.2543277506497844,0.7455041318015269,-0.8146435846328042,0.7122482479575181,0.24728657593114042,1.2531327753897508,0.07678209085571419,0.5510155037149653,-0.09605082796941256,0.05389058849565964,-0.23926574034877862,1.1381322692337092,0.3456735472557635,-0.8352219873427853,1.0077129870173744,-0.22510992873254643,-0.4779987489115646,-0.15309224527723983,-0.02530017986623191,0.25323994636637304,-0.8132707360802767,0.9223554191246959,-0.5386515147742956,0.18339787465934693,-0.2185008576592521,0.712807203721916,0.3897958357103699,-1.0443146562203969,-0.4192024011145206,-0.19893048225094767,0.4162016011225431
